0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 044713.497,5251,38802402,428,101.58,7230980,18.0,0.20628764749566797,
20240429 044714.626,5252,38803532,376,76.43,7231172,18.0,0.22602445584612255,
20240429 044717.677,5253,38806584,369,73.42,7231737,18.0,0.25591155696591256,
20240429 044739.519,5254,38828431,326,59.13,7235842,18.0,0.18884314688219964,
20240429 044751.770,5255,38840683,335,61.77,7238073,18.0,0.16933080465998376,
20240429 044755.009,5256,38843923,391,82.35,7238634,18.0,0.1794494490901913,
20240429 044815.942,5257,38864859,486,135.98,7242557,18.0,0.1436988072998994,
20240429 044816.393,5258,38865312,414,93.93,7242750,18.75,0.1552553951249806,
20240429 044820.026,5259,38868944,568,189.84,7243314,18.0,0.14798591174120224,
20240429 044828.320,5260,38877240,448,112.41,7245013,18.0,0.13364874437004665,
20240429 044831.650,5261,38880572,189,32.16,7245579,18.54,0.12982966348151226,
20240429 044834.465,5262,38883388,398,85.63,7246137,18.54,0.13022868156482784,
20240429 044842.379,5263,38891302,333,61.18,7247633,18.54,0.1590836780146357,
20240429 044843.799,5264,38892724,352,66.89,7247823,18.0,0.19220050356531934,
20240429 044847.915,5265,38896839,714,383.98,7248569,18.0,0.18901447850905378,
20240429 044848.582,5266,38897508,419,97.2,7248762,18.0,0.30637254901960786,
20240429 044850.551,5267,38899477,385,80.11,7249140,18.0,0.2927571871889455,
20240429 044855.587,5268,38904514,387,81.05,7250076,18.0,0.2812069401872838,
20240429 044900.258,5269,38908989,669,274.85,7250829,18.0,0.3131066441229883,
20240429 044916.430,5270,38925361,287,50.23,7254036,18.54,0.2233139794551139,
20240429 044918.727,5271,38927659,377,76.28,7254412,18.0,0.22592743210880664,
20240429 044923.428,5272,38932361,412,92.93,7255345,18.54,0.2436112938195815,
20240429 044923.808,5273,38932741,335,61.77,7255350,18.0,0.24994376265340298,
20240429 044925.263,5274,38934196,390,82.7,7255726,18.0,0.2677519545892685,
20240429 044931.614,5275,38940547,499,141.24,7256850,18.0,0.2323852017103551,
20240429 044936.804,5276,38945738,176,30.09,7257797,18.54,0.21620219229022983,
20240429 044957.634,5277,38966572,508,144.95,7261677,18.0,0.16116814672748078,
20240429 045007.373,5278,38976314,307,54.48,7263560,18.32,0.1489979885271549,
20240429 045009.389,5279,38978331,199,33.86,7263936,18.0,0.188825317698597,
20240429 045010.551,5280,38979492,325,59.05,7264127,18.0,0.19296079036739736,
20240429 045010.922,5281,38979864,371,73.82,7264132,18.0,0.21055291194677223,
20240429 045015.625,5282,38984568,387,81.05,7265063,18.0,0.19298685759499778,
20240429 045020.385,5283,38989328,428,101.58,7265998,18.0,0.1814157686586118,
20240429 045023.993,5284,38992937,287,50.23,7266566,18.0,0.19091620687680178,
20240429 045030.561,5285,38999506,428,101.58,7267874,18.0,0.1860222854697993,
20240429 045035.916,5286,39004864,344,64.67,7268809,18.21,0.26121937202862966,
20240429 045039.974,5287,39008921,327,59.28,7269557,18.0,0.3067390570841385,
20240429 045041.614,5288,39010563,415,95.0,7269932,18.0,0.3103180760279286,
20240429 045046.396,5289,39015345,359,69.86,7270869,18.0,0.2789789370902497,
20240429 045047.328,5290,39016278,386,80.48,7271060,18.0,0.27467999780256,
20240429 045051.267,5291,39020218,345,64.98,7271811,18.0,0.2805678693676,
20240429 045051.533,5292,39020483,371,73.82,7271816,18.0,0.32104790034673175,
20240429 045051.612,5293,39020563,408,90.57,7271821,18.0,0.3620695897751548,
20240429 045051.878,5294,39020828,316,56.81,7271827,18.21,0.469109161701928,
20240429 045052.024,5295,39020975,327,59.28,7271832,18.0,0.6208095356344673,
20240429 045052.986,5296,39021937,337,62.3,7272023,18.21,0.7685213648939441,
20240429 045058.320,5297,39027271,428,101.58,7273140,18.0,0.5985873338920149,
20240429 045058.419,5298,39027371,369,73.42,7273145,18.0,0.8317391665973551,
20240429 045112.917,5299,39041869,492,134.92,7275761,18.0,0.39079291883231076,
20240429 045118.572,5300,39047528,390,82.7,7276892,18.0,0.3662332906061161,
20240429 045123.620,5301,39052577,390,82.7,7277830,18.0,0.31165269423754166,
20240429 045124.706,5302,39053664,359,69.86,7278021,18.0,0.3021695775669305,
20240429 045126.466,5303,39055424,306,54.23,7278396,18.0,0.2891176130449867,
20240429 045131.622,5304,39060579,428,101.58,7279329,18.0,0.252538006970049,
20240429 045132.594,5305,39061553,371,73.82,7279520,18.0,0.2524742476267421,
20240429 045134.275,5306,39063233,344,64.67,7279898,18.0,0.27812543457099154,
20240429 045144.459,5307,39073419,527,155.96,7281760,18.0,0.21720243266724587,
20240429 045146.399,5308,39075360,313,56.02,7282141,18.0,0.29866794098321486,
20240429 045147.716,5309,39076676,440,109.25,7282331,18.0,0.34312379906670326,
20240429 045149.786,5310,39078748,240,41.21,7282711,18.54,0.3821753420469311,
20240429 045149.978,5311,39078940,412,92.93,7282716,18.0,0.39569484013928463,
20240429 045150.434,5312,39079395,352,66.89,7282908,18.0,0.4172229639519359,
20240429 045157.257,5313,39086219,556,174.47,7284216,18.0,0.39009167154281255,
20240429 045159.982,5314,39088945,569,185.56,7284599,18.0,0.36512341171315904,
20240429 045208.557,5315,39097524,384,80.08,7286301,18.32,0.2916982673122922,
20240429 045225.321,5316,39114290,287,50.23,7289476,18.54,0.2447261514365425,
20240429 045228.920,5317,39117890,307,54.48,7290037,18.0,0.23517791209049646,
20240429 045238.266,5318,39127238,399,87.3,7291900,18.0,0.19782393669634027,
20240429 045238.507,5319,39127479,423,97.36,7291906,18.0,0.20525030274419656,
20240429 045248.368,5320,39137342,389,81.58,7293776,18.0,0.17126220243192328,
20240429 045250.513,5321,39139487,344,64.67,7294154,18.0,0.16644751077747633,
20240429 045255.371,5322,39144346,524,150.73,7295090,18.0,0.17207557559280037,
20240429 045255.554,5323,39144528,448,112.41,7295095,18.54,0.1799467357662132,
20240429 045257.320,5324,39146296,419,97.2,7295476,18.0,0.20507351885651007,
20240429 045300.321,5325,39149296,617,223.47,7296040,18.0,0.2857142857142857,
20240429 045308.786,5326,39157763,435,104.92,7297555,18.0,0.2508403150554357,
20240429 045310.214,5327,39159190,504,143.61,7297933,18.0,0.31300863903843745,
20240429 045313.590,5328,39162569,295,51.75,7298499,18.0,0.2850383376564148,
20240429 045318.280,5329,39167260,391,82.35,7299435,18.54,0.33431398769724524,
20240429 045320.717,5330,39169695,579,187.32,7299816,18.0,0.33108197589723215,
20240429 045325.521,5331,39174502,335,61.77,7300762,18.54,0.33167495854063017,
20240429 045326.445,5332,39175426,487,132.65,7300952,18.54,0.32371888252241754,
20240429 045331.879,5333,39180862,263,45.37,7301895,18.0,0.2893602245435343,
20240429 045356.810,5334,39205797,291,50.97,7306537,18.0,0.17702561560657828,
20240429 045402.385,5335,39211374,265,45.75,7307653,18.0,0.1865706449747197,
20240429 045413.474,5336,39222465,613,215.02,7309703,18.0,0.15807777426493835,
20240429 045424.727,5337,39233721,415,95.0,7311781,18.0,0.14057382234280333,
20240429 045426.832,5338,39235826,376,76.43,7312160,18.0,0.14587466448827166,
20240429 045428.321,5339,39237315,344,64.67,7312539,18.0,0.14792024140583399,
20240429 045428.730,5340,39237725,364,71.71,7312544,18.0,0.15820531886282016,
20240429 045437.850,5341,39246848,384,80.08,7314225,18.0,0.14004621525103284,
20240429 045504.564,5342,39273567,419,97.2,7319271,18.0,0.10789232346118574,
20240429 045505.539,5343,39274542,271,46.93,7319464,18.0,0.14549898878202797,
20240429 045508.633,5344,39277636,398,85.63,7320026,18.0,0.15094795314575532,
20240429 045511.743,5345,39280744,526,158.17,7320590,18.0,0.171617841390791,
20240429 045528.494,5346,39297502,414,93.93,7323796,18.0,0.15682092618439003,
20240429 045529.678,5347,39298683,440,109.25,7323988,18.0,0.1591191165706648,
20240429 045531.663,5348,39300670,435,104.92,7324367,18.0,0.1578731331502005,
20240429 045551.227,5349,39320238,435,104.92,7328100,18.0,0.12121652908590616,
20240429 045556.826,5350,39325839,319,57.64,7329041,18.0,0.12662074554294975,
20240429 045604.224,5351,39333239,57,16.93,7330528,18.0,0.16761649346295676,
20240429 045610.418,5352,39339432,376,76.43,7331640,18.0,0.15413307849997687,
20240429 045624.572,5353,39353590,396,85.28,7334254,18.0,0.13168464162024784,
20240429 045635.827,5354,39364848,335,61.77,7336312,18.0,0.11892869035726178,
20240429 045638.455,5355,39367477,415,95.0,7336874,18.54,0.14293677906262062,
20240429 045641.737,5356,39370760,369,73.42,7337438,18.0,0.1387751703465216,
